noseCone,0.03,0,1,2,ud
airbrake1,0.05,0,1,2,ud
airScoop,0.02,0,1,2,ud
airlinerCtrlSrf,0.17,0,1,2,ud
airlinerMainWing,0.78,0,1,2,ud
airlinerTailFin,0.36,0,1,2,ud
AdvancedCanard,0.08,0,1,2,ud
CanardController,0.1,0,1,2,ud
sweptWing,0.275,0,1,2,ud
tailfin,0.125,0,1,2,ud
basicFin,0.01,0,1,2,ud
CircularIntake,0.04,0,1,2,ud
shockConeIntake,0.12,0,1,2,ud
avionicsNoseCone,0.08,0,1,2,ud
pointyNoseConeA,0.075,0,1,2,ud
pointyNoseConeB,0.075,0,1,2,ud
noseConeAdapter,0.1,0,1,2,ud
rocketNoseCone.v2,0.2,0,1,2,ud
rocketNoseCone.v3,0.2,0,1,2,ud
rocketNoseConeSize3,0.4,0,1,2,ud
standardNoseCone,0.01,0,1,2,ud
airplaneTail,0.2,0,1,2,ud
airplaneTailB,0.2,0,1,2,ud
fairingSize1,0.075,0,1,2,ud
fairingSize2,0.175,0,1,2,ud
fairingSize3,0.475,0,1,2,ud
HeatShield0,0.025,0,1,2,ud
HeatShield1,0.1,0,1,2,ud
HeatShield2,0.5,0,1,2,ud
HeatShield3,1.0,0,1,2,ud
InflatableHeatShield,1.5,0,1,2,ud
IntakeRadialLong,0.01,0,1,2,ud
miniIntake,0.007,0,1,2,ud
ramAirIntake,0.06,0,1,2,ud
wingShuttleDelta,0.5,0,1,2,ud
wingShuttleElevon1,0.15,0,1,2,ud
wingShuttleElevon2,0.23,0,1,2,ud
wingShuttleRudder,0.45,0,1,2,ud
wingShuttleStrake,0.1,0,1,2,ud
R8winglet,0.1,0,1,2,ud
winglet,0.037,0,1,2,ud
winglet3,0.078,0,1,2,ud
wingConnector,0.2,0,1,2,ud
wingConnector2,0.2,0,1,2,ud
wingConnector3,0.1,0,1,2,ud
wingConnector4,0.05,0,1,2,ud
wingConnector5,0.05,0,1,2,ud
deltaWing,0.2,0,1,2,ud
delta.small,0.05,0,1,2,ud
StandardCtrlSrf,0.05,0,1,2,ud
elevon2,0.06,0,1,2,ud
elevon3,0.08,0,1,2,ud
smallCtrlSrf,0.04,0,1,2,ud
elevon5,0.08,0,1,2,ud
wingStrake,0.05,0,1,2,ud
structuralWing,0.1,0,1,2,ud
structuralWing2,0.1,0,1,2,ud
structuralWing3,0.05,0,1,2,ud
structuralWing4,0.025,0,1,2,ud
sweptWing1,0.113,0,1,2,ud
sweptWing2,0.226,0,1,2,ud
